Ensino Fundamental Regular - Anos Finais;;;;;;;;;;;;;;;;;;;;;;;
Indicadores educacionais compostos por: Taxa de Aprovação, SAEB e IDEB nos anos de 2005, 2007, 2009, 2011, 2013, 2015, 2017, 2019, 20211 e 2023 e Metas do 1º ciclo do Ideb2,3 (2007-2021). Os dados estão dimensionados por escola e organizados por rede de ensino.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Sigla da UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Rede;"IDEB
2005
(N x P)";"IDEB
2007
(N x P)";"IDEB
2009
(N x P)";"IDEB
2011
(N x P)";"IDEB
2013
(N x P)";"IDEB
2015
(N x P)";"IDEB
2017
(N x P)";"IDEB
2019
(N x P)";"IDEB
20211
(N x P)";"IDEB
2023
(N x P)";Metas do 1º ciclo do Ideb2,3 (2007-2021);;;;;;;
GO;5205000;Carmo do Rio Verde;52078787;ESC MUL BENEDITO BARBOSA DOS SANTOS;Municipal;-;-;-;-;-;-;-;-;5,8;-;-;-;-;-;-;-;-;-
GO;5205059;Castelândia;52052281;COLEGIO ESTADUAL DONA ELBA FERREIRA GARCIA;Estadual;3,2;4;3,6;4;4,3;4,4;5,1;5,5;5,1;5,5;3,2;3,3;3,6;4;4,4;4,7;4,9;5,2
GO;5205109;Catalão;52064794;COLEGIO ESTADUAL ANICE CECILIO PEDREIRO;Estadual;4;4,2;4;4,4;4,5;3,9;4,6;5,2;5,5;5,3;4;4,2;4,5;4,8;5,2;5,5;5,7;5,9
GO;5205109;Catalão;52064808;COLEGIO ESTADUAL CAROLINA VAZ DA COSTA;Estadual;-;-;3,4;-;5,7;-;5,8;5,2;5,3;5,3;-;-;3,5;3,8;4,1;4,4;4,7;4,9
GO;5205109;Catalão;52064816;COLEGIO ESTADUAL DONA IAYA;Estadual;3,4;2,7;3,8;4;4,5;5;4,9;-;5,2;5;3,4;3,6;3,9;4,3;4,6;4,9;5,2;5,4
GO;5205109;Catalão;52064824;COLEGIO ESTADUAL JOAO NETTO DE CAMPOS;Estadual;3,4;4,1;3,7;3,9;4,6;4,7;5,4;4,9;5,1;5,4;3,4;3,5;3,8;4,2;4,6;4,9;5,1;5,4
GO;5205109;Catalão;52064832;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS INTEGRAL DOUTOR THARSIS CAMPOS;Estadual;3,4;3;2,9;4,5;-;-;-;6,1;5,9;6,4;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
GO;5205109;Catalão;52064921;CENTRO DE ENSINO EM PERIODO INTEGRAL MADRE NATIVIDADE GORROCHATEGUI;Estadual;-;3,4;4;-;-;-;-;-;-;-;-;3,5;3,7;4;4,4;4,6;4,9;5,2
GO;5205109;Catalão;52064948;CENTRO DE ENSINO EM PERIODO INTEGRAL ABRAHAO ANDRE;Estadual;3,9;3,4;3,1;3,7;3,9;4,5;4,9;5,3;5,4;6,1;4;4,1;4,4;4,8;5,1;5,4;5,6;5,9
GO;5205109;Catalão;52064956;COLEGIO ESTADUAL DOUTOR DAVID PERSICANO;Estadual;3,4;4;4;4,3;4,5;4,9;5,9;5,3;5,1;5,2;3,4;3,6;3,9;4,3;4,6;4,9;5,2;5,4
GO;5205109;Catalão;52064972;ESCOLA ESTADUAL JOAQUIM DE ARAUJO E SILVA;Estadual;-;3,2;3,9;-;5;5;4,9;4,9;5,5;5,9;-;3,3;3,5;3,9;4,2;4,5;4,7;5
GO;5205109;Catalão;52064999;COLEGIO ESTADUAL MARIA DAS DORES CAMPOS;Estadual;4,8;4,4;4,1;4,7;5,4;4,8;5,7;5,5;5,5;5,5;4,8;4,9;5,2;5,6;5,9;6,1;6,3;6,6
GO;5205109;Catalão;52065014;ESCOLA ESTADUAL PROFESSORA ZUZU;Estadual;-;-;3,7;4;4,9;5;5,1;4,9;-;-;-;-;3,9;4,2;4,5;4,7;5;5,3
GO;5205109;Catalão;52065030;ESCOLA ESTADUAL WILSON ELIAS JORGE DEMOCH;Estadual;-;4,1;-;-;-;-;-;-;-;-;-;4,2;4,4;4,8;5,1;5,3;5,6;5,8
GO;5205109;Catalão;52065170;ESCOLA MUNICIPAL NILDA MARGON VAZ;Municipal;-;3,7;4,7;-;-;-;-;-;-;-;-;3,8;4;4,3;4,7;4,9;5,2;5,4
GO;5205109;Catalão;52065227;ESCOLA MUNICIPAL PEDRO NETTO PARANHOS;Municipal;-;3,9;4,1;3,3;5,5;5,6;4,9;4,9;-;4,2;-;3,9;4,2;4,5;4,8;5,1;5,3;5,6
GO;5205109;Catalão;52065294;ESCOLA MUNICIPAL SANTA INES;Municipal;-;-;-;-;-;-;-;-;5,3;4,3;-;-;-;-;-;-;-;-
GO;5205109;Catalão;52065324;ESCOLA MUNICIPAL DEPUTADO WISON DA PAIXAO;Municipal;-;4,1;-;-;-;-;-;-;-;-;-;4,2;4,4;4,7;5,1;5,3;5,6;5,8
GO;5205109;Catalão;52065391;CENTRO DE ENSINO EM PERIODO INTEGRAL MATILDE MARGON VAZ;Estadual;3,4;3,9;3,8;4;4,6;4,6;-;5,3;5,5;5,9;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
GO;5205109;Catalão;52065456;COLEGIO ESTADUAL DE EDUCACAO DO CAMPO GILBERTO ARRUDA FALCAO;Estadual;-;-;2,5;3,4;4,8;4,8;4,7;4,9;5,4;5,3;-;-;3,1;3,5;3,9;4,1;4,4;4,7
GO;5205109;Catalão;52070204;CAIC SAO FRANCISCO DE ASSIS;Municipal;3,7;4;3,2;-;-;-;-;-;-;-;3,7;3,9;4,1;4,5;4,9;5,2;5,4;5,7
GO;5205109;Catalão;52083608;ESCOLA ALLAN KARDEC;Municipal;-;-;6,1;5,5;-;-;-;-;-;-;-;-;6,2;6,4;6,7;6,9;7;7,2
GO;5205109;Catalão;52097641;COLEGIO ESTADUAL RITA PARANHOS BRETAS;Estadual;-;-;-;-;4,9;5,6;5,5;5;4,9;5;-;-;-;-;5,1;5,4;5,6;5,8
GO;5205208;Caturaí;52022447;COLEGIO ESTADUAL MOISES SANTANA;Estadual;3,8;3,9;3,9;4,5;5,7;5,2;4,9;4,8;5;5;3,8;3,9;4,2;4,6;5;5,2;5,5;5,7
GO;5205307;Cavalcante;52012905;COLEGIO ESTADUAL ELIAS JORGE CHEIM;Estadual;3,1;3,5;3,1;3,4;3,6;4;4,3;3,7;4;4,6;3,2;3,3;3,6;4;4,4;4,6;4,9;5,1
GO;5205307;Cavalcante;52070247;COLEGIO ESTADUAL CALUNGA I;Estadual;-;-;-;-;-;2,8;3,4;3;-;3,6;-;-;-;-;-;3,1;3,3;3,6
GO;5205406;Ceres;52015351;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS HELIO VELOSO;Estadual;4,3;4,6;4,5;5;5,1;5,2;5,7;5,9;5,9;6,4;4,3;4,5;4,8;5,1;5,5;5,7;6;6,2
GO;5205406;Ceres;52015360;CENTRO DE ENSINO EM PERIODO INTEGRAL JOAO XXIII;Estadual;4,7;5,2;-;-;-;-;-;-;-;-;4,7;4,8;5,1;5,5;5,8;6,1;6,3;6,5
GO;5205406;Ceres;52015378;CENTRO DE ENSINO EM PERIODO INTEGRAL SAO TOMAZ DE AQUINO;Estadual;4;4,1;-;-;-;-;-;-;5,9;5,9;4;4,2;4,5;4,9;5,2;5,5;5,7;5,9
GO;5205406;Ceres;52015432;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSORA MARIA CARMELITA MACEDO CORREA;Estadual;-;4,1;4,3;-;5;5;6;5,5;5,3;5,4;-;4,2;4,4;4,8;5,1;5,3;5,6;5,8
GO;5205406;Ceres;52015459;COLEGIO ESTADUAL VIRGILIO DO VALE;Estadual;-;3,9;-;4,3;-;-;4,9;5,4;5,2;-;-;4;4,2;4,5;4,9;5,1;5,4;5,6
GO;5205455;Cezarina;52056163;COLEGIO ESTADUAL PROFESSORA MARIA APRESENTACAO;Estadual;3,6;3,6;3,5;3,6;4,5;4,1;4,1;4,5;4,1;5,2;3,6;3,8;4;4,4;4,8;5,1;5,3;5,6
GO;5205455;Cezarina;52056171;ESCOLA ESTADUAL MARIA DO CARMO FRANCO;Estadual;-;-;-;-;-;-;-;4,1;-;-;-;-;-;-;-;-;-;4,4
GO;5205471;Chapadão do Céu;52052320;ESC MUL DONA AMELIA GARCIA CUNHA;Municipal;3,5;5,3;3,7;5,3;5,6;5,6;-;5,9;5,4;6,1;3,5;3,6;3,9;4,3;4,7;5;5,2;5,5
GO;5205471;Chapadão do Céu;52082695;ESC MUL EDUC INFAN E ENS FUND FLORES CER;Municipal;-;4,1;5,2;5,2;5;6;6,1;5,9;-;6;-;4,2;4,4;4,7;5,1;5,3;5,6;5,8
GO;5205497;Cidade Ocidental;52044297;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS OCIDENTAL;Estadual;3,8;2,9;4,2;4,2;4,8;4,8;4,8;5;4,9;5,4;3,8;4;4,2;4,7;5;5,3;5,5;5,8
GO;5205497;Cidade Ocidental;52044327;ESCOLA MUNICIPAL EDSON ANDRE DE AGUIAR;Municipal;3,5;-;-;-;-;-;4,3;4,9;5;4,6;3,5;3,7;4;4,4;4,7;5;5,2;5,5
GO;5205497;Cidade Ocidental;52044335;ESCOLA MUNICIPAL JOSE FERNANDES DA SILVA NETO;Municipal;-;-;-;-;-;-;-;-;4,8;4,9;-;-;-;-;-;-;-;-
GO;5205497;Cidade Ocidental;52044360;COLEGIO ESTADUAL JORGE AMADO;Estadual;3,7;3,8;4;4,7;4,7;5;4,8;4,9;5,6;4,7;3,7;3,8;4,1;4,5;4,9;5,2;5,4;5,7
GO;5205497;Cidade Ocidental;52044378;ESCOLA MUNICIPAL FREI AMILTON GOMES CURADO;Municipal;3,1;-;-;-;-;-;-;-;-;-;3,2;3,3;3,6;4;4,4;4,6;4,9;5,2
GO;5205497;Cidade Ocidental;52044386;ESCOLA MUNICIPAL ALIPIO PEREIRA BRAGA;Municipal;-;2,4;3,4;-;3,7;4,3;4,1;3,5;-;4,8;-;2,4;2,6;3;3,3;3,5;3,8;4,1
GO;5205497;Cidade Ocidental;52044440;ESCOLA MUNICIPAL MARIA PEREIRA BRAGA;Municipal;3,2;3,7;2,9;3,3;3,6;3,5;3,5;5;4,7;4,9;3,2;3,4;3,7;4,1;4,4;4,7;5;5,2
GO;5205497;Cidade Ocidental;52044459;ESCOLA MUNICIPAL HELIO JONES BRANQUINHO;Municipal;3,2;3,4;3,3;2,1;3,3;3,5;4;4,3;4,7;4,8;3,3;3,4;3,7;4,1;4,5;4,7;5;5,3
GO;5205497;Cidade Ocidental;52073572;CENTRO DE ENSINO EM PERIODO INTEGRAL DIVINA OLIMPIO MIRANDA;Estadual;2,1;3,5;2,8;4,1;5,1;4,9;5,2;5,6;5,4;5,5;2,2;2,5;2,9;3,4;3,9;4,1;4,4;4,7
GO;5205497;Cidade Ocidental;52079317;ESCOLA MUNICIPAL ROSANE MARIGUELLA FILOMENO;Municipal;2,8;3,9;3,4;3,5;4,2;3,5;4,6;4,6;4,4;5;2,8;3;3,3;3,7;4;4,3;4,6;4,8
GO;5205497;Cidade Ocidental;52098206;ESCOLA MUNICIPAL ALBINO BATISTA FERREIRA;Municipal;-;3,6;3,3;3,9;3,7;4,5;4,6;-;-;4,9;-;3,7;3,9;4,2;4,6;4,8;5,1;5,3
GO;5205497;Cidade Ocidental;52098257;ESCOLA MUNICIPAL PROFESSORA JOSEFA MARIA DE LIMA;Municipal;-;3,5;4;3,7;3,6;3,9;5,1;-;-;-;-;3,5;3,8;4,1;4,4;4,7;4,9;5,2
GO;5205497;Cidade Ocidental;52103897;CENTRO DE ENSINO EM PERIODO INTEGRAL PEDRO MOURAO;Estadual;-;-;-;-;-;-;-;5,2;5,2;4,4;-;-;-;-;-;-;-;5,4
GO;5205497;Cidade Ocidental;52103900;CENTRO DE ENSINO EM PERIODO INTEGRAL MARIA DE JESUS ALVES;Estadual;-;-;-;-;-;-;-;5,5;5,3;5,4;-;-;-;-;-;-;-;5,7
GO;5205513;Cocalzinho de Goiás;52044572;CENTRO DE ENSINO EM PERIODO THIAGO VIDAL FERNANDES;Estadual;3,3;3,8;-;-;-;-;-;-;-;-;3,4;3,5;3,8;4,2;4,6;4,8;5,1;5,4
GO;5205513;Cocalzinho de Goiás;52044602;ESCOLA ESTADUAL SENADOR JOSE ERMIRIO DE MORAES;Estadual;3,8;3,1;3,3;3,8;4,6;4,1;4,9;5,7;5,6;5,6;3,8;3,9;4,2;4,6;5;5,2;5,5;5,7
GO;5205513;Cocalzinho de Goiás;52044629;ESCOLA MUNICIPAL ALTO DA BOA VISTA;Municipal;-;2,8;3,4;3,7;-;3,4;4,5;5;5;-;-;2,9;3,1;3,5;3,8;4,1;4,3;4,6
GO;5205513;Cocalzinho de Goiás;52044815;E M NOSSA SENHORA DE FATIMA;Municipal;2,9;3,9;3,8;-;3,5;4,1;5,1;5,6;5,7;5,3;2,9;3;3,3;3,7;4,1;4,4;4,6;4,9
GO;5205513;Cocalzinho de Goiás;52045021;ESCOLA MUN MODELO;Municipal;-;4,1;3,9;4;5,2;-;-;-;-;-;-;4,1;4,4;4,7;5;5,3;5,5;5,8
GO;5205513;Cocalzinho de Goiás;52090280;COLEGIO ESTADUAL VEREADOR WALDIR DE RESENDE;Estadual;-;-;-;-;-;-;-;-;-;5,6;-;-;-;-;-;-;-;-
GO;5205521;Colinas do Sul;52013413;COLEGIO MUNICIPAL MARIA AUXILIADORA;Municipal;-;-;3,8;3,7;4,1;-;-;-;-;-;-;-;4;4,3;4,6;4,8;5,1;5,4
GO;5205521;Colinas do Sul;52013421;COLEGIO ESTADUAL ANTONIO RODRIGUES DOS SANTOS;Estadual;-;-;-;-;-;-;5,2;-;-;-;-;-;-;-;-;-;5,5;5,7
GO;5205521;Colinas do Sul;52013430;CENTRO DE ENSINO EM PERIODO INTEGRAL JOAQUIM TOMAZ FERREIRA DA SILVA;Estadual;3,7;3,1;3,1;4,8;5,2;4,6;5,3;3,9;5,1;5,1;3,7;3,9;4,2;4,6;5;5,2;5,5;5,7
GO;5205703;Córrego do Ouro;52026701;COLEGIO ESTADUAL BRASIL;Estadual;3,5;4;3,7;5;5,9;5,7;6,4;5,6;5,6;5,6;3,6;3,7;4;4,4;4,8;5;5,3;5,5
GO;5205802;Corumbá de Goiás;52045080;CENTRO DE ENSINO EM PERIODO INTEGRAL ANDRE GAUDIE;Estadual;-;4,3;3,8;4,5;5,1;4,9;5,3;5,3;5,5;5,9;-;4,3;4,6;4,9;5,2;5,5;5,7;5,9
GO;5205802;Corumbá de Goiás;52045110;ESCOLA ESTADUAL JOAO MENDES;Estadual;3,8;3,6;3,5;4,4;4,9;4,5;5;4,5;4,6;5,2;3,8;3,9;4,2;4,6;5;5,2;5,5;5,7
GO;5205901;Corumbaíba;52065464;COLEGIO ESTADUAL SIMON BOLIVAR;Estadual;4,2;3,7;4,1;4,8;5;5;5,2;5;5;5,6;4,2;4,4;4,6;5;5,4;5,6;5,9;6,1
GO;5205901;Corumbaíba;52065502;ESCOLA ESTADUAL OSORIO MARTINS CARDOSO;Estadual;3,3;3,3;2,7;4,1;4,6;4,8;-;5,1;-;-;3,3;3,5;3,8;4,2;4,5;4,8;5,1;5,3
GO;5205901;Corumbaíba;52065510;COLEGIO MUNICIPAL SANTA TEREZINHA;Municipal;-;-;-;-;-;-;-;-;-;5,3;-;-;-;-;-;-;-;-
GO;5205901;Corumbaíba;52065570;E M PROF ALBERTO DE MORAIS HOLANDA;Municipal;-;-;-;-;-;-;-;-;6,2;-;-;-;-;-;-;-;-;-
GO;5206206;Cristalina;52045587;ESCOLA COMERCIAL MUNICIPAL LEAO RODRIGUES DE AFONSECA;Municipal;4,2;5,2;4,5;4,6;5,3;4,3;5,5;-;-;-;4,3;4,4;4,7;5,1;5,4;5,7;5,9;6,2
GO;5206206;Cristalina;52045595;CEPMG OLGA AGUIAR MOHN;Estadual;3,3;3;3;3,4;4,4;-;-;-;-;5,7;3,3;3,4;3,7;4,1;4,5;4,8;5;5,3
GO;5206206;Cristalina;52045617;COLEGIO ESTADUAL ADELVINA FLORES RIBEIRO;Estadual;-;3,1;3,1;2,8;4,4;4,7;5,2;5,1;5,3;5,2;-;3,2;3,4;3,7;4,1;4,4;4,6;4,9
GO;5206206;Cristalina;52045633;CENTRO DE ENSINO EM PERIODO INTEGRAL AURORA ATTIE;Estadual;3;2,8;3,3;3,2;-;4,9;4,6;4,8;5,2;5,5;3;3,1;3,4;3,8;4,2;4,5;4,7;5
GO;5206206;Cristalina;52045641;COLEGIO ESTADUAL JOSE DE GOIAS BRASIL;Estadual;3,3;2,5;2,6;3,9;4;4,7;5,1;4,8;5,1;5,2;3,4;3,5;3,8;4,2;4,6;4,8;5,1;5,4
GO;5206206;Cristalina;52045650;ESC MUL PRESIDENTE KENNEDY;Municipal;-;-;-;3,3;-;-;5,2;-;-;3,8;-;-;-;3,5;3,8;4;4,3;4,6
GO;5206206;Cristalina;52045668;ESC MUL ADALARDO TIRADENTES BISPO;Municipal;3,3;4;4,3;5;4,5;5;5,3;-;-;-;3,4;3,5;3,8;4,2;4,6;4,8;5,1;5,4
GO;5206206;Cristalina;52045714;ESC MUL ARGEU PAIM HOFFMANN;Municipal;-;-;4,1;-;4,4;-;5,1;4,1;-;4,8;-;-;4,2;4,5;4,8;5,1;5,3;5,6
GO;5206206;Cristalina;52045773;ESCOLA MUNICIPAL EDUARDO DE PAIVA REZENDE;Municipal;-;-;-;-;3,9;4;4,5;-;4,6;5,1;-;-;-;-;4,2;4,4;4,7;5
GO;5206206;Cristalina;52045790;ESC MUL PAULO GONTIJO;Municipal;-;-;-;-;-;-;5,2;3,4;-;3,9;-;-;-;-;-;-;5,5;5,7
GO;5206206;Cristalina;52045820;ESCOLA MUNICIPAL JOSE GOMES GONCALVES;Municipal;-;3,7;-;3,6;3,9;5;4,6;4;5,3;4,7;-;3,8;4;4,3;4,7;4,9;5,2;5,4
GO;5206206;Cristalina;52045838;ESCOLA MUNICIPAL JOSE MIGUEL CURY;Municipal;-;4,4;4;-;4,2;4,6;5,2;4,9;5,2;5,5;-;4,5;4,7;5;5,3;5,6;5,8;6
GO;5206206;Cristalina;52046028;ESCOLA MUNICIPAL SOUZA LIMA;Municipal;-;-;2;2,9;3,5;2,8;4,3;-;-;-;-;-;2,2;2,4;2,7;3;3,2;3,5
GO;5206206;Cristalina;52073521;ESC MUL VALDETE DOS SANTOS ABADIA;Municipal;3,4;-;4,3;-;4,4;4,7;-;-;-;-;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
GO;5206206;Cristalina;52082202;CENTRO DE ENSINO EM PERIODO INTEGRAL ZULCA PEIXOTO DE PAIVA;Estadual;3,2;3,4;3;4,4;-;-;-;-;-;-;3,2;3,3;3,6;4;4,4;4,7;4,9;5,2
GO;5206206;Cristalina;52092143;COLEGIO ESTADUAL CAMPOS LINDOS;Estadual;-;-;-;-;-;-;-;4,1;4,8;4,8;-;-;-;-;-;-;-;4,4
GO;5206206;Cristalina;52094383;ESCOLA MUNICIPAL PAROQUIAL SAO VICENTE DE PAULO;Municipal;-;4,1;4;3,7;4,8;4,6;5,4;-;-;-;-;4,2;4,4;4,7;5,1;5,3;5,5;5,8
GO;5206206;Cristalina;52098800;ESCOLA MUNICIPAL PROFESSORA SUMAIA SALLES COZAC;Municipal;-;-;3,5;4,2;4,2;3,5;4,7;-;-;-;-;-;3,6;3,9;4,3;4,5;4,8;5
GO;5206206;Cristalina;52102491;ESCOLA MUNICIPAL PROFESSORA MARIA HELENA DE ABREU MORAES;Municipal;-;-;-;-;-;-;-;4,8;-;4,7;-;-;-;-;-;-;-;5
GO;5206305;Cristianópolis;52061736;COLEGIO ESTADUAL JOSE PEREIRA FAUSTINO;Estadual;4,1;3,5;3,7;3,2;-;4,9;-;-;5;5,2;4,1;4,2;4,5;4,9;5,3;5,5;5,8;6
GO;5206305;Cristianópolis;52061752;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GESTAO COMPARTILHADA MILITARIZADA SERGIO CEZAR MACHADO;Municipal;-;3,6;4,2;2,6;4,3;4,5;4,8;4,6;-;4,7;-;3,7;3,9;4,2;4,6;4,8;5,1;5,3
GO;5206404;Crixás;52000028;CENTRO DE ENSINO EM PERIODO INTEGRAL JOAO XAVIER FERREIRA;Estadual;3,1;4;4;4,2;5,2;5,7;5,8;5,6;5,6;5,1;3,1;3,3;3,5;3,9;4,3;4,6;4,8;5,1
GO;5206404;Crixás;52000079;COLEGIO ESTADUAL JURANDIR CARDOSO DIAS;Estadual;-;4,3;3,8;5,1;-;-;5,6;6,1;-;5,8;-;4,3;4,5;4,9;5,2;5,5;5,7;5,9
GO;5206404;Crixás;52000087;COLEGIO ESTADUAL MANOEL LINO DE CARVALHO;Estadual;3,4;3,7;4;4,7;4,9;4,9;5,1;5,4;4,9;5,3;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
GO;5206404;Crixás;52000095;COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS PRUDENCIO FERREIRA DE FARIA;Estadual;2,6;3,9;3,9;4,3;3,7;5;-;4,9;4,8;5,9;2,6;2,7;3;3,4;3,8;4;4,3;4,6
GO;5206503;Cromínia;52058778;COLEGIO ESTADUAL PROFESSOR ANTONIO MESTRE;Estadual;0,8;4,1;3,1;3,2;5,4;4,1;5,8;4,8;5;5,4;1,1;1,7;2,5;3,4;4;4,3;4,6;4,8
GO;5206602;Cumari;52065600;COLEGIO ESTADUAL GETULIO EVANGELISTA DA ROCHA;Estadual;3,6;3,6;3,9;3,6;5,4;5,9;5,8;5,6;-;5,3;3,7;3,8;4,1;4,5;4,9;5,1;5,4;5,6
GO;5206701;Damianópolis;52040577;CENTRO DE ENSINO EM PERIODO INTEGRAL JULIO MOREIRA DE MOURA;Estadual;4,2;4,2;4,1;4,1;-;-;-;-;-;-;4,3;4,4;4,7;5,1;5,4;5,7;5,9;6,1
GO;5206701;Damianópolis;52040607;ESCOLA ESTADUAL MANOEL LELIS;Estadual;-;2,8;-;3,7;5;5,1;4,9;5,1;5,5;5,7;-;2,9;3,1;3,5;3,8;4,1;4,3;4,6
GO;5206800;Damolândia;52022471;COLEGIO ESTADUAL DOM EMANUEL;Estadual;4,1;3,9;4,1;4,4;5,1;5;5,4;5,3;5,9;6;4,2;4,3;4,6;5;5,3;5,6;5,8;6,1
GO;5206909;Davinópolis;52065715;COLEGIO ESTADUAL JOAO BERNARDES DE ASSUNCAO;Estadual;-;3,8;3,8;-;-;4,4;4,5;4,1;5,3;5,7;-;3,8;4,1;4,4;4,7;5;5,2;5,5
GO;5207105;Diorama;52005321;COLEGIO ESTADUAL DONA EVA;Estadual;-;4,5;4,1;3,8;4,9;5,3;5;6,1;5,5;5,7;-;4,6;4,8;5,1;5,4;5,7;5,9;6,1
GO;5207253;Doverlândia;52052346;COLEGIO ESTADUAL JUSCELINO K OLIVEIRA;Estadual;3,9;3,7;4,5;4;4,7;5,3;5,8;6,5;-;-;3,9;4,1;4,3;4,7;5,1;5,4;5,6;5,8
GO;5207253;Doverlândia;52052354;COLEGIO ESTADUAL DR PEDRO LUDOVICO TEIXEIRA;Estadual;-;3,1;4,1;4,3;5,6;5,4;5,2;6;4,7;4,1;-;3,2;3,4;3,8;4,1;4,4;4,6;4,9
GO;5207253;Doverlândia;52052400;ESCOLA MUNICIPAL DONA ERNESTINA AUGUSTA DE LIMA;Municipal;-;-;-;-;-;-;-;-;-;5,9;-;-;-;-;-;-;-;-
GO;5207352;Edealina;52056260;COLEGIO ESTADUAL OLIMPIO SILVA;Estadual;-;-;-;-;-;-;-;5,5;-;-;-;-;-;-;-;-;-;5,8
GO;5207352;Edealina;52056309;ESC MUL PEDRO JOSE LEANDRO;Municipal;3,2;3,5;3,8;3,7;3,9;4,5;-;4,6;-;4,9;3,2;3,4;3,7;4,1;4,5;4,7;5;5,2
GO;5207402;Edéia;52056333;COLEGIO ESTADUAL GLACY KELLE DE SOUSA;Estadual;3,6;3;3,5;-;-;4,4;4,8;5,1;4,7;5,3;3,6;3,7;4;4,4;4,8;5,1;5,3;5,6
GO;5207402;Edéia;52056368;CENTRO DE ENSINO EM PERIODO INTEGRAL JOSE DE FARIA;Estadual;4,3;4,6;4,6;4,6;5;5,4;5,6;6,1;5,5;5,8;4,3;4,5;4,8;5,1;5,5;5,7;6;6,2
GO;5207402;Edéia;52075303;ESCOLA MUNICIPAL JOSE ESTEVES RODRIGUES;Municipal;3,5;4,3;4,2;3,8;4,5;-;-;-;-;-;3,5;3,7;4;4,4;4,8;5;5,3;5,5
GO;5207501;Estrela do Norte;52006760;CENTRO DE ENSINO EM PERIODO INTEGRAL VALDOMIRO LOPES REZENDE;Estadual;3,2;4;4,8;3,8;5,1;-;4,8;5,1;5,2;5,2;3,2;3,3;3,6;4;4,4;4,6;4,9;5,2
GO;5207501;Estrela do Norte;52006786;ESCOLA MUNICIPAL CARLOS OLIVEIRA DA SILVA;Municipal;3,8;3,7;3,6;4,7;4,8;-;5,8;5,9;5,8;6,4;3,9;4;4,3;4,7;5,1;5,3;5,6;5,8
GO;5207535;Faina;52002080;COLEGIO ESTADUAL LINDOLFO MENDES DA CUNHA;Estadual;3,6;3,9;3,9;4,4;4,6;-;5,5;4,8;5,1;5;3,7;3,8;4,1;4,5;4,9;5,1;5,4;5,6
GO;5207535;Faina;52002098;ESCOLA ESTADUAL DARIO DE PAIVA SAMPAIO;Estadual;-;2,3;-;4,5;4,3;4,4;-;4,8;-;-;-;2,3;2,5;2,8;3,2;3,4;3,7;4
GO;5207535;Faina;52002241;ESC MUL BRUNO FREIRE DE ANDRADE;Municipal;-;-;-;-;-;-;5,7;-;-;-;-;-;-;-;-;-;5,9;6,1
GO;5207535;Faina;52002446;ESC MUL DONA ZELIA DA MATA;Municipal;-;-;-;-;-;-;-;-;-;4,8;-;-;-;-;-;-;-;-
GO;5207535;Faina;52002497;ESC MUL VISTA BELA;Municipal;-;-;-;-;-;-;4,6;-;-;-;-;-;-;-;-;-;4,8;5,1
GO;5207535;Faina;52002578;COLEGIO ESTADUAL MAJOR JOAO LEITE ORTIZ DE CAMARGO;Estadual;-;-;-;-;-;-;6,1;-;-;-;-;-;-;-;-;-;6,3;6,5
GO;5207535;Faina;52072673;ESC MUL ALBION DE BARROS;Municipal;-;-;-;-;-;-;-;-;-;4,8;-;-;-;-;-;-;-;-
GO;5207600;Fazenda Nova;52026809;CENTRO DE ENSINO EM PERIODO INTEGRAL PEDRO LUDOVICO TEIXEIRA;Estadual;2,2;-;-;-;-;-;-;-;5,7;5,5;2,3;2,6;3,1;3,6;4,1;4,4;4,6;4,9
GO;5207600;Fazenda Nova;52026817;COLEGIO ESTADUAL TIRADENTES;Estadual;-;3,6;3,1;4,1;4,9;5,7;5,7;5,6;-;-;-;3,7;3,9;4,2;4,6;4,8;5,1;5,3
GO;5207600;Fazenda Nova;52026841;ESCOLA ESTADUAL PROFESSOR ALFREDO NASSER;Estadual;4,3;4,2;4,5;5,3;5,6;6,5;6,1;6,3;6,9;6,3;4,3;4,4;4,7;5,1;5,5;5,7;5,9;6,2
GO;5207600;Fazenda Nova;52027040;COLEGIO ESTADUAL BACILANDIA;Estadual;-;-;-;4,2;-;-;-;6,5;5;-;-;-;-;4,4;4,7;4,9;5,2;5,4
GO;5207808;Firminópolis;52029182;COLEGIO ESTADUAL AMERICO GONCALVES FALEIRO;Estadual;4,1;3,6;3,7;4,4;5,3;4,7;5,2;4,9;5,7;5,1;4,1;4,3;4,5;4,9;5,3;5,5;5,8;6
